Tweet,Sentiment Score,Sentiment
"Flutter ciddi ciddi sevmeye başladım :D Class tanımları ve kullanımları çok hoşuma gidiyor. new kullanma diyor gereksiz yapıştır geç. Direkt ClassName(id:1, val:""w"") şeklinde tanımlayıp ilerliyorum. Her şeyi yapıyor. Müthiş :D #flutter #yazılım #mobilgeliştirme",0.8429,Pozitif
"Yetişir mi? Kimler böyle? 🤣😅😍

Bizifest Freelance Platformu'na katıl, sen de kazanmaya başla! 

#yazılım #yazılımcı #programcı #kodlama #komik #yapayzeka   #kod #grafik  #grafiktasarımcı #freelanceturkiye #freelancer #freelance #bizifest

Kimler böyle? 😅 https://t.co/OAxHELA5Bj",0.4646,Pozitif
"4. Üçüncü Taraf Risk Yönetimini Geliştirir.
5. Gelecekteki Veri Sızıntılarını Önler.

🌐https://t.co/fwg7Y1xseq
📞 0850 455 01 24
📩 info@maxbilgisayar.com

#verisızıntısı #verigüvenliği #veriihlali #yazılım #yazılımçözümleri #bilişim #bilgiteknolojileri #edönüşüm",-0.2732,Negatif
"İzmir Yüksek Teknoloji Enstitüsü’nde Doç. Dr. Mehmet Penpecioğlu’nun değerli iş birliğiyle yürüttüğümüz Datça Nazım ve Uygulama İmar Planları hakkında söyleşiden kareler.
#kentbis #izmiryüksekteknolojienstitüsü #datça #nazımplan #uygulamaimarplanı #şehirplanlama #söyleşi #yazılım https://t.co/cgj8kXZKUh",0.0,Nötr
"Doğru Promt Nasıl Yazılır? 💫

#dijitaldönüşüm #yazılım #fıratüniversitesi https://t.co/QNL6JnJqxE",0.0,Nötr
"Logo Yazılım 2025 Kampanya 
Davraz Teknoloji 
#davrazteknoloji #logoyazılım #logomuhasebe #logapp #ısparta #logappmobil #davraz #teknoloji #kampanya2025 #indirim #işortağı #logo #davrazyazılım #yazılım #muhasebe #önmuhasebe #cari #stok #banka #kasa #çek #senet #ambar #depo
#GSvFB https://t.co/A3yCstodHB",0.0,Nötr
"Logo Yazılım 2025 Kampanya 
Davraz Teknoloji 
#davrazteknoloji #logoyazılım #logomuhasebe #logapp #ısparta #logappmobil #davraz #teknoloji #kampanya2025 #indirim #işortağı #logo #davrazyazılım #yazılım #muhasebe #önmuhasebe #cari #stok #banka #kasa #çek #senet #ambar #depo https://t.co/Fq78Gb2Gq6",0.0,Nötr
"Logo Yazılım 2025 Kampanya 
Davraz Teknoloji 
#davrazteknoloji #logoyazılım #logomuhasebe #logapp #ısparta #logappmobil #davraz #teknoloji #kampanya2025 #indirim #işortağı #logo #davrazyazılım #yazılım #muhasebe #önmuhasebe #cari #stok #banka #kasa #çek #senet #ambar #depo
#GSvFB https://t.co/yB6EvkZWA6",0.0,Nötr
"🚀 Yapay Zeka ile Geleceğe Adım Atın! 🚀
Yapay Zeka Kümeleme Programı ile işletmenizi bir üst seviyeye taşıyın!

🌐 Detaylar ve başvuru: https://t.co/QtG0P6R2aW
#YapayZeka #SanayiBakanlığı #KümelemeProgramı #Teknoloji #İnovasyon #Robotik #Bilişim #arge #yazılım #phyton #bilişim https://t.co/o6VTGCyFe4",0.0,Nötr
"Kendine Yatırım Yapmak için En Doğru Zaman "" ŞİMDİ! ""
Tümüyle sektörel deneyimlerle hazırlanmış, "" 2 Yıllık Sektör Deneyimine "" eşdeğer uzmanlık eğitimleri ile "" Aranan Uzman "" olacaksın!

Geleceğini Daha Fazla Erteleme!

444 3 111
https://t.co/tPmK3Weyks

#ÜçüncüBinyıl #yazılım https://t.co/Z5fOW745iC",0.0,Nötr
"🔵 Avantajları
•Esnek Fatura Düzenleme
•Güvenilir Stok Yönetimi
•Farklı Para Birimleriyle İşlem
•Hızlı ve Güvenli İşlem
•İkinci El Araç Yönetimi

🌐https://t.co/fwg7Y1xseq
📞 0850 455 01 24
📩 info@maxbilgisayar.com

#yazılım #vegayazılım #vegaotosatış #otomobilsatış",0.0,Nötr
"Şanlıurfa Teknokent, global yatırımcı çekerek, bölgeyi yazılım üssü yapacak 

@berkan_aydilek 
@teknokenturfa

#şanlıurfa #teknopark #girişimci #yazılım #tarımsistemleri #tubitak #hassas #dijitalleşme #tarım #savunmasanayi #sürdürülebilirlik #küreselgirişimciler #ekosistem https://t.co/Err76MnZew",0.0,Nötr
"‘Hepsi bir arada’ fitness uygulaması hayal edin. Kişiye özel programlar, online danışmanlık, antrenmanlar, blog yazıları ve aktif bir topluluk forumu… 

Biz şimdilik, bu deneyimin yalnızca web tasarım kısmına odaklandık.🍃🌲

#webtasarım #yazılım #kodlama #grafidiji #tasarım https://t.co/9EhndG7b1J",0.2732,Pozitif
"Yazılımcıları görelim. Kimler böyle yaşıyor 🤣😅😍

Bizifest Freelance Platformu'na katıl, sen de kazanmaya başla! 

#yazılım #yazılımcı #programcı #kodlama #komik #yapayzeka   #kod #grafik  #grafiktasarımcı #freelanceturkiye #freelancer #freelance #bizifest

Kimler böyle? 😅 https://t.co/UOXdOnMFrC",0.3595,Pozitif
"C# Developer Arıyoruz! 🚀Teknolojiye yön veren ekibimize hemen katıl!
🎓 Bilgisayar/Yazılım Müh. mezunu
💻 C# &amp; .NET Core/.NET (3+ yıl)
🔗 RESTful API, SQL, Angular bilgisi
📩 Başvuru: https://t.co/nFVWBNCVkQ

#CSharpDeveloper #Yazılım #WeAreHiring #Asis #işilanı #asisotomasyon https://t.co/vf1zikGWFO",0.4738,Pozitif
"💡 Barem Ambalaj &amp; Tire Kutsan MYO! 💡Danışma kurulundayız! 🚀Hedefimiz:✅ Programlama &amp; elektronik becerisi✅ Sektöre hızlı adaptasyon
Geleceğin yazılımcıları için! 🚀
#Eğitim #barma #Yazılım https://t.co/9rfl9A6j96",0.0,Nötr
"SQL Öğrenmek İçin Hızlı Başlangıç! 🔑
SQL’in temel komutlarını keşfet ve veritabanını yönetmeyi öğren! Detaylar paylaşımımızda! 👇
#VeriTabanı #Kodlama #SQLKomutları #yazılım #excelakademi https://t.co/ArYjazYROI",0.0,Nötr
"MVP (Minimum Viable Product), bir ürün veya hizmetin piyasaya sunulmadan önce, sadece temel özellikleri içeren ve kullanıcılar tarafından test edilebilecek en basit versiyonudur. 
https://t.co/xCgVQZhpqn
#yazılım #mvp #mvpnedir https://t.co/X2LKbZJNeI",0.0,Nötr
"Bu araçlar sayesinde yazılımınızı daha güvenilir, hızlı ve verimli hale getirebilirsiniz.  Siz hangi araçları kullanıyorsunuz? 

#perasoft #yazılım #software #yapayzeka #kalitegüvencesi",0.0,Nötr
"🚀 TEBRİKLER ASYA! 🚀

Öğrencimiz Asya, Data Scientist olarak iş teklifini aldı! 🎉

#datascience #offer #it #onlinekurs #kodlama #yazılımeğitimi #bootcamp #yazılım https://t.co/84HcRyDkiY",0.0,Nötr
"Smartiks Yazılım Sözleşme Yeniledi;

#SMART #haber #borsa #finans #yatırım #hisse #sözleşçe #anlaşma #yeni #bist #BIST100 #yazılım #protokol #açıklama 

https://t.co/m1AOxSJVZV",0.0,Nötr
"İzmir Yazılım Siteleri: Sektördeki Öncü İsimler ve Gelişmeler
https://t.co/h3R9kwoKbX

#İzmir #Yazılım #Siteleri: #Sektördeki #Öncü #İsimler #ve #Gelişmeler #AlestaMedya #Alesta #Medya https://t.co/RQb0GuBOuM",0.0,Nötr
"Yapay zeka kullanmadan kod yazamayanlar şimdi 'ben yazılımcıyım' diyor, bu oldukça komik😀
#Yazılım #ChatGPT #Yapayzeka",0.0,Nötr
"14. TÜRKİYE ARICILIK FUARI 2. GÜNÜNDEN KALDIĞI YERDEN DEVAM EDİYOR👏
ARGEKİP AKILLI ARI KOVAN TAKİP SİSTEMLERİ 
#argekipbilisim #arikovantakipsistemi #aricilik #halickongremerkezi #turkiyearicilikfuari#arikovan #istanbul #fuar #halic #yazilim #sicaklikvenem #instagram https://t.co/4al84a6KpX",0.0,Nötr
"14. TÜRKİYE ARICILIK FUARI 
ARGEKİP AKILLI ARI KOVAN TAKİP SİSTEMİ İLE ARICILIKTA YENİLİKÇİ ÇÖZÜMLER 
#argekipbilisim #arikovantakipsistemi #aricilik #halickongremerkezi #turkiyearicilikfuari #arikovan #istanbul #fuar #halic #yazilim #sicaklikvenem #instagram #reklamisbirligi #x https://t.co/MDc5v5ShO7",0.0,Nötr
"Oğlunun #disleksi (okuma güçlüğü) sorununa çözüm bulmak için mobil bir #yazılım geliştiren Dr. Günet Eroğlu, dünyadaki birçok çocuğa umut ışığı oldu. Uygulama, bugün Amerika ve Almanya başta olmak üzere 15 ülkede kullanılıyor.

https://t.co/dlEUZQoBQU

#pazar 
#saglik",0.0,Nötr
"İşte bu üzer... Kimler yaşadı bunu? 🤣😅😍

❤️ Bizifest Freelance Platformu'na katıl, sen de kazanmaya başla! 

#yazılım #yazılımcı #programcı #kodlama #komik #yapayzeka   #kod #grafik  #grafiktasarımcı #freelanceturkiye #freelancer #freelance #bizifest

Kimler böyle? 😅 https://t.co/v9CDcQI3Bw",0.4314,Pozitif
"Samsun Yazılım: Gelişen Teknolojiyle Birlikte Değişen Bir Sektör
https://t.co/Enkfw4Yc56

#Samsun #Yazılım: #Gelişen #Teknolojiyle #Birlikte #Değişen #Bir #Sektör #AlestaMedya #Alesta #Medya https://t.co/5C806sCyYm",0.0,Nötr
"AI Günlükleri: Yapay zeka dünyasında bu hafta (22 Şubat 2025)
https://t.co/Wsb9ETFpxm
#güncel #haber #teknoloji #yazılım #yapayzeka #ai #haberler",0.0,Nötr
"Herhangi bir nesne tespiti modeli kullanmadan sadece OpenCV ile nesne takibi (object tracking) yaptım 🙌

#yapayzeka #nesnetespiti #objectdetection #objectracking #yazilim https://t.co/rC5DtTauLt",0.0,Nötr
"Yapay zeka, bilim insanlarının yıllarını alan gizemi sadece iki günde çözdü
https://t.co/oNNRpAKDOO
#güncel #haber #bilim #teknoloji #yazılım #yapayzeka #ai #haberler",0.0,Nötr
"Kimler böyle hacker? 🤣😅😍

Bizifest Freelance Platformu'na katıl, sen de kazanmaya başla! 

#yazılım #yazılımcı #programcı #kodlama #komik #yapayzeka   #kod #grafik #grafiktasarım #grafiktasarımcı #freelanceturkiye #freelancer #freelance #bizifest

Kimler böyle? 😅 https://t.co/hTp5ZByaJg",0.4314,Pozitif
"Yazılım geliştiricileri için hazırladığım bu flood umarım yararlı olmuştur. Eğer hala kullanmaya başlamadıysanız, yeniden düşünün.

#yazilim #developer #geliştirici #kodlama #ai #cursor",0.0,Nötr
"Seçimlerin Geleceğini Belirler! Tüm Sektörler için "" Mühendis Seviyesinde "" eğitim almak da senin elinde!
Güzel ve Rahat bir gelecek için tek ihtiyacın "" Kaliteli "" bir eğitim...
444 3 111
https://t.co/tPmK3Weyks

#ÜçüncüBinyıl #Tasarım #Yazılım #CNC #Mühendis #CAD #YapayZeka #Ai https://t.co/hOrDDSUy4K",0.0,Nötr
"Yazılım alanında gelecek planları yapan ya da bilgilenmek isteyenler için hap formundaki blog yazımı paylaşıyorum. #yazılım #nedir #developer #SDLC #Software
#SoftwareDevelopment #SoftwareEngineering

Yazılım Nedir ? Yazılımcı Ne İş Yapar ? https://t.co/eU4gpYsU4K",0.0,Nötr
"İstanbul Web Sitesi Yazılım Fiyatları: Uygun Fiyatlarla Profesyonel Hizmet
https://t.co/XoaIroKHrY

#İstanbul #Web #Sitesi #Yazılım #Fiyatları: #Uygun #Fiyatlarla #Profesyonel #Hizmet #AlestaMedya #Alesta #Medya https://t.co/fFcr2RbBDg",0.0,Nötr
İlk kişisel bilgisayar hangisiydi? #bilgisayar #yazılım #pc #technology #ilk https://t.co/TighNtTRrR,0.0,Nötr
"Sivas Yazılım ve Web Tasarım Hizmetleri
https://t.co/GWmyHa4lSO

#Sivas #Yazılım #ve #Web #Tasarım #Hizmetleri #AlestaMedya #Alesta #Medya https://t.co/z2qkS1zrH7",0.0,Nötr
"Eğitim ve gelişim programları, performans değerlendirme sistemi ve düzenli geri bildirimlerle yeteneklerinizi en üst seviyeye taşırken, deneyimli bir ekiple çalışma fırsatı sunuyoruz.

#Siskon #Yazilim #Otomasyon #MakesYourFactorySmarter #Digital #Cloud #Software #Manufacturing… https://t.co/xqA7NTvDHg https://t.co/hS8ZHUy7Ex",0.0,Nötr
